Season,Sport,Date,Time,Opponent,Duke Record,Duke W,Duke L,Duke Overall W/L,Duke Ranking,Opponent Ranking,Game W/L,W/L Margin,Attendance,Category,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,pressure,visibility,windspeed,icon,Event Type,Day of Week,Day of Week Str
2022-2023,WB,12/1/2022,1700,Northwestern,1-Jul,7,1,0.875,0,0,W,16,1089,Class,10.5,-1.1,5.1,10.5,-1.1,4.1,-6.7,44.4,1029.6,16,16,partly-cloudy-day,TournamentGame,3,Thursday
2022-2023,WB,12/8/2022,1900,AustinPeay,1-Sep,9,1,0.9,0,0,W,43,925,Holiday,17.1,12.3,15,17.1,12.3,15,12.7,86.7,1022.9,13.1,15.1,cloudy,Regular,3,Thursday
2022-2023,WB,12/21/2022,1900,Virginia,1-Nov,11,1,0.916666667,0,0,W,14,1568,Holiday,7.1,-2.8,3.3,5.4,-5.8,1.5,-3.4,64.6,1029.9,16,14.3,rain,ACCRivalry,2,Wednesday
2022-2023,WB,1/1/2023,1200,Louisville,13-1,13,1,0.928571429,0,0,W,7,1720,Holiday,18.1,9,13.2,18.1,9,13.2,11,87.7,1018,12.4,13.2,partly-cloudy-day,ACCRivalry,6,Sunday
2022-2023,WB,1/12/2023,1900,Clemson,15-1,15,1,0.9375,16,0,W,10,2134,Holiday,19,11,14.2,19,11,14.2,8.9,71,1015.2,15.8,25.6,rain,ACCRivalry,3,Thursday
2022-2023,WB,1/22/2023,1200,Syracuse,17-2,17,2,0.894736842,13,0,W,12,2147,Class,7.1,3,4.8,6.1,0.6,3.6,2.7,86.3,1014.7,10.5,14.7,rain,ACCRivalry,6,Sunday
2022-2023,WB,1/26/2023,2000,VirginiaTech,18-2,18,2,0.9,16,12,W,11,2207,Class,13.5,3.5,8.6,13.5,3.5,7.7,1.3,62,1012.6,15.8,23,rain,ACCRivalry,3,Thursday
2022-2023,WB,2/2/2023,1800,Pittsburgh,19-3,19,3,0.863636364,16,0,W,9,1741,Class,5.7,2.9,4.2,5.5,0.1,3.1,2.7,90.2,1022,9,10.2,rain,ACCRivalry,3,Thursday
2022-2023,WB,2/12/2023,1400,Miami,22-3,22,3,0.88,9,0,W,10,2449,Class,7.6,2.8,4.6,5.6,-2.2,1.5,2.9,89.1,1009.9,7.6,27.1,rain,ACCRivalry,6,Sunday
2022-2023,WB,2/23/2023,2000,NCState,24-4,24,4,0.857142857,11,0,W,15,3139,Class,27.9,17.7,21.8,28.7,17.7,22,16.7,73.9,1015.5,16,32.4,rain,ACCRivalry,3,Thursday
2022-2023,WB,2/26/2023,1200,NorthCarolina,25-5,25,5,0.833333333,13,22,L,-4,9314,Class,13.2,8,10.2,13.2,7.4,10.1,7.8,85.2,1017,14.5,22,cloudy,ACCRivalry,6,Sunday
2022-2023,WB,3/18/2023,2130,Iona,26-6,26,6,0.8125,13,0,W,40,2246,Holiday,15.8,8,11.5,15.8,6.3,11.2,2.7,59.4,1010.5,14.5,21.1,rain,EOSTournamentGame,5,Saturday
2022-2023,WB,3/20/2023,2100,Colorado,26-7,26,7,0.787878788,13,21,L,-8,1904,Holiday,11.8,-1.4,4.9,11.8,-3.4,3.9,-7.9,40.8,1026.8,16,16.4,partly-cloudy-day,EOSTournamentGame,0,Monday
