Season,Sport,Date,Time,Opponent,Duke W,Duke L,Duke Ranking,Opponent Ranking,Category,tempmax,tempmin,temp,windspeed,weather,Event Type,Day of Week Str,Attendance,Predictions
2022-2023,MF,9/2/2022,1930,Temple,0,0,0,0,Class,33.1,16.5,24.9,13.7,partly-cloudy-day,None,Friday,20722,27448.64465
2022-2023,MF,9/17/2022,1800,NCA&T,2,0,0,0,Class,27.9,14.4,21.1,13.3,clear-day,None,Saturday,32808,28930.96737
2022-2023,MF,10/1/2022,1930,Virginia,3,1,0,0,Holiday,18.1,13.9,16,27.2,rain,ACCRivalry,Saturday,15152,23908.17293
2022-2023,MF,10/15/2022,2000,NorthCarolina,4,2,0,0,Class,26.3,7.3,16.3,24.1,clear-day,ACCRivalry,Saturday,40004,27460.3296
2022-2023,MF,11/12/2022,1200,VirginiaTech,6,3,0,0,Class,22.5,17.3,19.7,22.9,rain,ACCRivalry,Saturday,20857,22942.78267
2022-2023,MF,11/26/2022,1530,WakeForest,7,4,0,0,Holiday,18.9,1.7,9.8,13,partly-cloudy-day,ACCRivalry,Saturday,17492,25969.67296
